Name;Age;Rating;Nationality;Club;Position;Potential;Value;Total Stats
P. Robinson;36;69;England;Burnley;GK;69;450000;1175
J. Koller;36;78;Czech Republic;;ST;80;0;1580
J. Ángel;38;68;Colombia;Atlético Nacional;ST;68;100000;1653
D. Kuyt;35;75;Netherlands;Feyenoord;ST;75;1500000;2041
T. Howard;40;71;United States;Colorado Rapids;GK;71;240000;1221
D. Van Buyten;35;78;Belgium;FC Bayern München;CB;78;650000;1575
T. Sanneh;38;62;United States;;CB;72;0;1289
N. Penneteau;39;73;France;Sporting de Charleroi;GK;73;400000;1110
J. Collins;34;72;Wales;Ipswich Town;CB;72;950000;1542
J. Ibehre;36;58;England;Cambridge United;ST;58;45000;1502
Valerón;40;74;Spain;UD Las Palmas;CAM;74;0;1557
G. Holt;34;67;England;Rochdale;ST;67;375000;1740
Hélder Postiga;32;74;Portugal;Rio Ave FC;ST;74;2700000;1871
Ricardo Costa;39;73;Portugal;Boavista FC;CB;73;550000;1598
Y. Touré;35;80;Ivory Coast;Olympiacos CFP;CM;80;6000000;2073
Alan;36;74;Brazil;SC Braga;CAM;74;275000;1907
Quaresma;36;79;Portugal;Vitória Guimarães;RM;79;4200000;1928
Danny;34;76;Portugal;Clube Sport Marítimo;CAM;76;3900000;1892
Cristiano Ronaldo;35;92;Portugal;Juventus;ST;92;46000000;2221
A. Frei;32;77;Switzerland;FC Basel 1893;ST;77;2800000;1977
M. Carrick;35;79;England;Manchester United;CM;79;3000000;1970
Rogério Ceni;40;75;Brazil;São Paulo;GK;75;0;1602
R. Cretaro;38;56;Republic of Ireland;Finn Harps;CF;56;30000;1531
L. Toni;38;76;Italy;Hellas Verona;ST;76;650000;1541
J. Riquelme;35;79;Argentina;Boca Juniors;CAM;79;2500000;1885
J. De Guzmán;34;64;Canada;Canada;CDM;64;0;1787
M. Bordon;33;82;Brazil;FC Schalke 04;CB;84;0;1588
W. Samuel;37;74;Argentina;FC Basel 1893;CB;74;0;1560
R. Taylor;33;67;England;Fleetwood Town;CDM;67;300000;1895
Dédé;32;75;Brazil;Borussia Dortmund;LM;82;0;2087
D. Pizarro;38;73;Chile;Universidad de Chile;CM;73;1000000;1775
M. Yepes;39;74;Colombia;San Lorenzo de Almagro;CB;74;0;1508
O. Mellberg;35;74;Sweden;FC København;CB;74;300000;1634
C. Pizarro;40;74;Peru;SV Werder Bremen;ST;74;0;1802
R. Santa Cruz;38;73;Paraguay;Olimpia Asunción;ST;73;1400000;1595
Capdevila;36;69;Spain;Lierse SK;CDM;69;0;1925
R. Márquez;38;73;Mexico;Club Atlas;CB;73;275000;1754
S. Distin;37;77;France;Bournemouth;CB;77;0;1679
Ronaldinho;34;78;Brazil;Querétaro;CAM;78;4100000;1875
J. Krzynówek;33;72;Poland;Hannover 96;CF;79;0;1548
Zé Roberto;40;74;Brazil;Palmeiras;CAM;74;0;2028
S. Ono;38;54;Japan;Hokkaido Consadole Sapporo;CAM;54;15000;1414
B. Kouassi;33;62;Ivory Coast;Angers SCO;CB;68;0;1120
S. Nakamura;42;65;Japan;Yokohama FC;CAM;65;0;1674
D. Berbatov;34;80;Bulgaria;PAOK;ST;80;7500000;1856
H. Sarpei;35;68;Ghana;FC Schalke 04;CB;68;80000;1587
D. Drogba;38;81;Ivory Coast;;ST;81;0;1956
K. Källström;34;77;Sweden;Djurgårdens IF;CM;77;4300000;2005
A. Cole;37;70;England;Derby County;CDM;70;80000;1881
A. Thompson;36;63;Australia;Melbourne Victory;RW;63;25000;1614
A. Floro Flores;34;72;Italy;Chievo Verona;CAM;72;400000;1834
J. Yobo;32;74;Nigeria;Fenerbahçe SK;CB;74;1100000;1689
K. Beckerman;38;68;United States;Real Salt Lake;CDM;68;190000;1762
Ronaldo;33;77;Brazil;Corinthians;CAM;91;0;1739
D. Beasley;37;68;United States;Houston Dynamo;LWB;68;100000;1863
J. Park;32;78;Korea Republic;PSV;CAM;78;4100000;1923
Edmilson;34;68;Brazil;Ceará Sporting Club;CDM;68;100000;1745
S. Govou;32;69;France;Évian Thonon Gaillard FC;CAM;69;400000;1813
S. Diawara;35;73;Senegal;OGC Nice;CB;73;400000;1606
S. Ameobi;35;64;Nigeria;Notts County;ST;64;210000;1591
Z. Ibrahimović;38;83;Sweden;Milan;ST;83;9500000;1996
P. Mexès;33;77;France;Milan;CB;77;3100000;1813
B. Cheyrou;36;68;France;Toronto FC;CDM;68;275000;1870
M. Niang;34;67;Senegal;AC Arles Avignon;RW;67;375000;1760
J. Dudek;37;72;Poland;Real Madrid;GK;82;0;1170
J. McFadden;33;66;Scotland;Motherwell;CAM;66;425000;1745
Mikel Arteta;33;78;Spain;Arsenal;CM;78;5000000;2056
Joaquín;38;80;Spain;Real Betis;CAM;80;5000000;1959
Xabi Alonso;34;82;Spain;FC Bayern München;CM;82;6000000;2049
A. Hleb;35;74;Belarus;Krylya Sovetov Samara;CAM;74;1300000;1756
M. Antonsson;36;66;Sweden;FC København;CB;66;90000;1386
R. van der Vaart;35;67;Netherlands;Esbjerg fB;CAM;67;325000;1720
D. Bonera;37;75;Italy;Villarreal CF;CB;75;450000;1491
M. Brighi;37;69;Italy;Empoli;CM;69;275000;1872
D. Bierofka;34;64;Germany;TSV 1860 München;CAM;64;50000;1861
Raúl;34;81;Spain;FC Schalke 04;CAM;81;4300000;1924
M. Essien;33;74;Ghana;Panathinaikos FC;CDM;74;1500000;1926
M. Zidan;29;75;Egypt;1. FSV Mainz 05;RW;75;2400000;1873
J. Olsson;35;68;Sweden;Wigan Athletic;CB;68;210000;1484
M. Rosenberg;36;72;Sweden;Malmö FF;ST;72;1100000;1891
C. Samba;33;71;Congo;Aston Villa;CB;71;950000;1449
E. Moretti;37;75;Italy;Torino;CB;75;450000;1568
B. Hangeland;34;72;Norway;Crystal Palace;CB;72;650000;1464
M. Pedersen;37;68;Norway;Tromsø IL;CM;68;275000;1788
D. Mobaeck;35;60;Sweden;IF Elfsborg;CB;60;30000;1482
S. Proto;37;75;Belgium;Lazio;GK;75;675000;1288
Gilberto Silva;36;73;Brazil;Atlético Mineiro;CB;73;0;1695
Júlio César;37;80;Brazil;SL Benfica;GK;80;1000000;1263
F. Coloccini;38;71;Argentina;San Lorenzo de Almagro;CB;71;475000;1742
P. Čech;36;81;Czech Republic;Arsenal;GK;81;2400000;1161
A. McGregor;38;74;Scotland;Rangers FC;GK;74;575000;1283
K. Kurányi;33;74;Germany;TSG 1899 Hoffenheim;ST;74;2300000;1775
S. Maloney;33;73;Scotland;Scotland;CAM;73;0;1859
K. Boyd;34;70;Scotland;Kilmarnock;ST;70;925000;1648
D. Forlán;35;78;Uruguay;Uruguay;CAM;78;0;1939
O. Deschacht;39;70;Belgium;SV Zulte-Waregem;CB;70;240000;1588
Hugo Viana;29;78;Portugal;SC Braga;CAM;78;4700000;2083
Fernando Torres;34;77;Spain;Sagan Tosu;ST;77;4700000;1852
T. Motta;34;80;Italy;Paris Saint-Germain;CDM;80;4500000;1944
L. Butelle;37;73;France;Angers SCO;GK;73;400000;1095
Igor de Camargo;37;70;Belgium;KV Mechelen;ST;70;625000;1778
J. Poulsen;35;65;Denmark;Melbourne Victory;CM;65;230000;1753
P. Senderos;33;67;Switzerland;Houston Dynamo;CB;67;300000;1416
S. Pienaar;34;75;South Africa;Sunderland;CAM;75;2000000;1960
K. Keller;41;69;United States;Seattle Sounders FC;GK;69;0;1169
J. Defoe;37;73;England;Rangers FC;ST;73;1400000;1764
D. Bent;33;70;England;Burton Albion;ST;70;1100000;1645
P. Clarke;38;63;England;Tranmere Rovers;CB;63;70000;1420
L. King;30;82;England;Tottenham Hotspur;CB;82;7000000;1643
S. Harper;40;69;England;Sunderland;GK;69;170000;1158
J. Cavalli;37;67;France;AC Ajaccio;CAM;67;250000;1785
S. Cherundolo;34;73;United States;Hannover 96;RB;73;400000;1918
P. Crouch;37;72;England;Burnley;ST;72;900000;1622
B. Myhill;35;70;Wales;West Bromwich Albion;GK;70;425000;1181
T. Cahill;37;70;Australia;Millwall;ST;70;475000;1904
E. van der Sar;39;83;Netherlands;Manchester United;GK;87;0;1272
H. Opdal;38;65;Norway;SK Brann;GK;65;50000;1153
A. Le Tallec;34;65;France;US Orléans Loiret Football;ST;65;275000;1689
M. Diarra;32;75;Mali;Fulham;CB;75;850000;1842
P. Evra;36;75;France;West Ham United;CB;75;775000;1944
F. Balmont;39;68;France;Dijon FCO;CDM;68;220000;1783
H. Westermann;33;71;Germany;FK Austria Wien;CB;71;950000;1615
C. Brunt;35;67;Northern Ireland;Bristol City;CM;67;325000;1925
E. Jakupović;35;66;Switzerland;Leicester City;GK;66;170000;1116
M. Marić;36;66;Switzerland;FC Lugano;CB;66;130000;1604
R. Reçber;37;73;Turkey;Beşiktaş JK;GK;82;0;1193
D. Murphy;29;69;England;Birmingham City;LWB;69;450000;1917
C. Ledesma;34;71;Italy;FC Lugano;CM;71;725000;1970
C. Natali;35;74;Italy;Sassuolo;CB;74;550000;1440
B. Lauth;31;69;Germany;TSV 1860 München;ST;69;575000;1853
T. Wiese;33;68;Germany;TSG 1899 Hoffenheim;GK;68;625000;1026
Fernando Navarro;35;74;Spain;Deportivo de La Coruña;CB;74;1200000;1876
E. Adebayor;35;74;Togo;Olimpia Asunción;ST;74;2600000;1766
M. Ambrosini;36;74;Italy;Fiorentina;CB;74;0;1957
C. Gordon;36;71;Scotland;Celtic;GK;71;400000;1182
F. Miccoli;33;81;Italy;Palermo;CAM;81;5000000;2025
D. De Rossi;35;82;Italy;Boca Juniors;CB;82;7000000;2083
D. Bulman;41;60;England;Crawley Town;CDM;60;0;1593
Maxwell;34;79;Brazil;Paris Saint-Germain;LWB;79;2900000;2114
A. Ferdid;33;63;England;St. Mirren;CB;63;150000;1478
C. Palmer;29;59;England;Burton Albion;LM;59;80000;1670
N. de Jong;32;74;Netherlands;1. FSV Mainz 05;CDM;74;3200000;1860
G. O'Neil;35;67;England;Bolton Wanderers;CM;67;180000;1851
G. Greer;36;65;Scotland;Kilmarnock;CB;65;70000;1375
P. Mertesacker;32;80;Germany;Arsenal;CB;80;8500000;1537
J. Van Damme;34;74;Belgium;Royal Antwerp FC;CB;74;1700000;1848
J. Bothroyd;38;65;England;Hokkaido Consadole Sapporo;ST;65;190000;1546
J. McAnuff;38;60;Jamaica;Leyton Orient;CAM;60;70000;1633
L. Camp;34;67;Northern Ireland;Birmingham City;GK;67;325000;1183
L. Grant;37;70;England;Manchester United;GK;70;180000;1273
Deco;34;76;Portugal;Fluminense;CAM;76;2100000;1872
M. Bloomfield;36;64;England;Wycombe Wanderers;CM;64;140000;1754
P. Jagielka;37;72;England;Sheffield United;CB;72;625000;1714
S. Royce;47;48;England;Gillingham;GK;48;3000;852
S. Caldwell;33;68;Scotland;Toronto FC;CB;68;425000;1561
S. Downing;34;70;England;Blackburn Rovers;RM;70;900000;1873
T. Huddlestone;32;71;England;Derby County;CDM;71;1600000;1834
T. Berni;37;64;Italy;Inter;GK;64;45000;951
W. Rooney;34;77;England;Derby County;CM;77;4300000;2075
W. Routledge;35;69;England;Swansea City;LM;69;450000;1735
K. Commons;32;70;Scotland;Celtic;CAM;70;1100000;1741
N. Castillo;29;68;Mexico;Rayo Vallecano;LW;68;675000;1814
Neca;31;73;Portugal;Vitória de Setúbal;CAM;73;1500000;1907
M. Ratajczak;38;63;Germany;Hannover 96;GK;63;35000;1036
T. Kuszczak;36;69;Poland;Birmingham City;GK;69;140000;1140
R. Green;38;70;England;Chelsea;GK;70;120000;1062
S. Padoin;35;70;Italy;Ascoli;CAM;70;500000;1956
K. Stamatopoulos;40;57;Canada;AIK;GK;57;10000;1026
A. Aquilani;32;75;Italy;UD Las Palmas;CM;75;5000000;1977
S. Pepe;32;74;Italy;Pescara;CAM;74;2500000;1962
L. Cufré;36;69;Argentina;Leones Negros de la UdeG;CB;69;0;1612
R. Jarstein;35;77;Norway;Hertha BSC;GK;77;2400000;1203
C. Burke;36;68;Scotland;Kilmarnock;RM;68;300000;1768
C. Grindheim;36;66;Norway;FK Haugesund;CM;66;200000;1779
M. Gurski;41;59;Germany;SpVgg Unterhaching;GK;59;15000;931
J. Gillet;41;67;Belgium;Standard de Liège;GK;67;80000;1184
P. Brożek;36;66;Poland;Wisła Kraków;ST;66;230000;1595
A. Boruc;40;73;Poland;Legia Warszawa;GK;73;400000;1160
C. Bovo;35;68;Italy;Lecce;CB;68;210000;1609
Adriano;31;73;Brazil;Club Athletico Paranaense;ST;73;1500000;1629
Aduriz;38;81;Spain;Athletic Club de Bilbao;ST;81;6500000;1952
Victor Valdés;34;82;Spain;Middlesbrough;GK;82;13000000;1231
M. Langer;35;65;Austria;FC Schalke 04;GK;65;150000;1050
Y. Pelé;37;72;France;Olympique de Marseille;GK;72;325000;1137
H. Altıntop;34;74;Turkey;SV Darmstadt 98;CM;74;1700000;1999
Lúcio;35;76;Brazil;Palmeiras;CB;76;450000;1807
R. Ziegler;34;69;Switzerland;FC Dallas;CDM;69;400000;1888
S. Lichtsteiner  B;35;72;Switzerland;FC Augsburg;CB;72;875000;1931
G. McAuley;39;70;Northern Ireland;Northern Ireland;CB;70;0;1452
Cani;34;73;Spain;Real Zaragoza;CAM;73;1500000;1858
Pinto;37;72;Spain;FC Barcelona;GK;72;0;1320
Jonatan Soriano;34;71;Spain;Girona FC;CAM;71;1200000;1858
M. Rodríguez;39;74;Argentina;Newell's Old Boys;CAM;74;1500000;1933
A. Mannus;38;66;Northern Ireland;Shamrock Rovers;GK;66;70000;1137
Cifuentes;41;73;Spain;Cádiz CF;GK;73;400000;1190
Moyá;36;78;Spain;Real Sociedad;GK;78;1700000;1216
Xisco Campos;37;68;Spain;RCD Mallorca;CB;68;180000;1562
Borja Fernández;37;69;Spain;Real Valladolid CF;CB;69;70000;1758
Nihat;30;76;Turkey;Beşiktaş JK;CAM;82;0;1971
Riesgo;36;71;Spain;CD Leganés;GK;71;400000;1228
Mista;31;68;Spain;Toronto FC;ST;77;0;1799
Reyes;34;71;Spain;Extremadura UD;CAM;71;1200000;1807
O. Onyewu;35;69;United States;Philadelphia Union;CB;69;250000;1355
S. Riether;35;69;Germany;FC Schalke 04;CB;69;230000;1815
L. McCormick;36;60;England;Plymouth Argyle;GK;60;35000;1092
L. FeeneyB;33;65;England;Tranmere Rovers;RM;65;240000;1768
C. Kameni;35;73;Cameroon;Cameroon;GK;73;0;1215
F. Béria;33;73;France;LOSC Lille;CDM;73;1200000;1944
J. Plašil;36;71;Czech Republic;FC Girondins de Bordeaux;CM;71;750000;1792
J. Toulalan;33;78;France;FC Girondins de Bordeaux;CDM;78;4200000;1829
J. Mathieu;35;81;France;Sporting CP;CB;81;5500000;2049
A. Emaná;34;75;Cameroon;Gimnàstic de Tarragona;CAM;75;2200000;2014
Juninho;38;77;Brazil;Vasco da Gama;CAM;77;625000;1974
J. Jones;35;73;United States;LA Galaxy;CDM;73;950000;2015
David Villa;37;79;Spain;Vissel Kobe;CF;79;3700000;1951
A. Montenegro;31;67;Argentina;Hércules CF;CAM;67;0;1338
Nino;40;70;Spain;Elche CF;ST;70;0;1796
A. Voronin;33;76;Ukraine;Dinamo Moscow;CAM;76;2400000;1945
M. Wölfli;36;66;Switzerland;BSC Young Boys;GK;66;110000;1093
Iraizoz;37;75;Spain;Girona FC;GK;75;450000;1120
D. Benaglio;35;74;Switzerland;AS Monaco;GK;74;1500000;1189
M. Eggimann;33;66;Switzerland;1. FC Union Berlin;CB;66;300000;1436
Rubén Castro;39;71;Spain;FC Cartagena;CF;71;700000;1814
M. Fotheringham;30;59;Scotland;Fulham;CM;59;120000;1614
R. Fuller;35;68;Jamaica;Oldham Athletic;ST;68;350000;1727
R. Fanni;38;70;France;Montreal Impact;CB;70;350000;1798
D. Martin;34;66;England;West Ham United;GK;66;275000;1157
C. Carrasso;35;79;France;Galatasaray SK;GK;79;3000000;1161
I. Henderson;35;66;England;Salford City;CF;66;300000;1748
A. Lonergan;35;65;England;Liverpool;GK;65;150000;1063
K. Touré;35;75;Ivory Coast;Celtic;CB;75;700000;1816
P. Gori;40;62;Italy;Benevento;GK;62;30000;1110
A. Di Natale;37;77;Italy;Udinese;CAM;77;850000;1944
J. Makoun;33;69;Cameroon;Antalyaspor;CDM;69;450000;1863
M. Dawson;36;69;England;Nottingham Forest;CB;69;210000;1377
Pepe;37;81;Portugal;Portugal;CB;81;3600000;1856
A. Walke;37;71;Germany;FC Red Bull Salzburg;GK;71;240000;1194
A. Meier;36;70;Germany;Western Sydney Wanderers;ST;70;625000;1686
C. Schulz;34;68;Germany;SK Sturm Graz;CB;68;275000;1659
A. Tymoshchuk;35;75;Ukraine;Zenit St. Petersburg;CB;75;375000;1965
R. Adler;33;78;Germany;1. FSV Mainz 05;GK;78;5000000;1114
M. Rensing;35;70;Germany;Fortuna Düsseldorf;GK;70;475000;1153
P. Lahm;32;88;Germany;FC Bayern München;RWB;88;29500000;2146
B. Schweinsteiger;34;75;Germany;;CB;75;0;1999
R. König;37;63;Germany;FSV Zwickau;ST;63;130000;1475
N. Belhadj;27;75;Algeria;Portsmouth;CF;82;0;1553
S. Whittaker;35;63;Scotland;Hibernian;CM;63;100000;1808
A. Koné;36;71;Ivory Coast;Sivasspor;ST;71;850000;1748
M. Borriello;35;77;Italy;SPAL;ST;77;4100000;1751
H. Campagnaro;39;69;Argentina;Pescara;CB;69;140000;1542
S. Muntari;33;72;Ghana;Albacete BP;CB;72;1300000;1915
B. Yılmaz;34;78;Turkey;LOSC Lille;ST;78;5500000;1921
M. Topal;34;74;Turkey;Medipol Başakşehir FK;CDM;74;2200000;1919
S. Sarıoğlu;32;69;Turkey;Göztepe SK;RWB;69;575000;1904
H. Kaldırım;30;75;Turkey;Medipol Başakşehir FK;LB;75;5500000;1908
U. Bulut;37;68;Turkey;Yeni Malatyaspor;ST;68;325000;1652
P. McShane;34;65;Republic of Ireland;Rochdale;CB;65;200000;1515
L. Andreasen;32;74;Denmark;Hannover 96;CB;74;2000000;1995
J. Hansen;35;75;Denmark;FC Midtjylland;GK;75;1800000;1358
E. Hallfreðsson;36;70;Iceland;Iceland;CDM;70;0;1927
Marcos Assunção;36;72;Brazil;Santos;CAM;72;275000;1909
A. Hutchinson;37;76;Canada;Beşiktaş JK;CDM;76;1700000;2005
J. Briand;34;75;France;FC Girondins de Bordeaux;ST;75;3500000;1922
E. Eboué;32;75;Ivory Coast;Sunderland;RB;75;2300000;2032
S. Brown;35;75;Scotland;Celtic;CDM;75;2100000;1915
M. Chamakh;32;71;Morocco;Cardiff City;ST;71;1300000;1919
S. Sidwell;34;71;England;Brighton & Hove Albion;CDM;71;1200000;1922
L. Cana;31;76;Albania;FC Nantes;CB;76;950000;1817
A. Lindegaard;36;67;Denmark;Helsingborgs IF;GK;67;130000;1248
Junior Cesar;31;71;Brazil;Botafogo;LWB;71;575000;1991
Jefferson;33;80;Brazil;Brazil;GK;80;0;1136
Maicon;33;77;Brazil;Roma;RWB;77;2900000;2136
Alex;35;80;Brazil;Coritiba;CAM;80;3600000;1909
Artur Moraes;36;70;Brazil;CD Aves;GK;70;70000;1172
Felipe Melo;33;78;Brazil;Inter;CB;78;3800000;2082
Cris;36;70;Brazil;Vasco da Gama;CB;70;0;1664
Dagoberto;30;77;Brazil;Cruzeiro;RW;77;3600000;1999
Fernandinho;35;84;Brazil;Manchester City;CB;84;9500000;2192
